Sum of Sales	Year	Quarter	Month	Day	forecastValue	confidenceHighBound	confidenceLowBound	Earliest Date							
$794.15 	2016	Qtr 2	May	28				5/28/2016 0:00							
"$1,119.79 "	2016	Qtr 2	May	29				5/29/2016 0:00							
$681.10 	2016	Qtr 2	May	30				5/30/2016 0:00							
"$5,178.14 "	2016	Qtr 2	May	31				5/31/2016 0:00							
$31.54 	2016	Qtr 2	June	1				6/1/2016 0:00							
"$2,432.54 "	2016	Qtr 2	June	2				6/2/2016 0:00							
"$1,555.24 "	2016	Qtr 2	June	3				6/3/2016 0:00							
$140.00 	2016	Qtr 2	June	4				6/4/2016 0:00							
"$1,379.81 "	2016	Qtr 2	June	7				6/7/2016 0:00							
$494.87 	2016	Qtr 2	June	8				6/8/2016 0:00							
$919.67 	2016	Qtr 2	June	9				6/9/2016 0:00							
$11.48 	2016	Qtr 2	June	11				6/11/2016 0:00							
"$6,061.50 "	2016	Qtr 2	June	12				6/12/2016 0:00							
"$1,128.90 "	2016	Qtr 2	June	13				6/13/2016 0:00							
$51.07 	2016	Qtr 2	June	14				6/14/2016 0:00							
$734.14 	2016	Qtr 2	June	15				6/15/2016 0:00							
"$3,443.90 "	2016	Qtr 2	June	16				6/16/2016 0:00							
"$1,883.09 "	2016	Qtr 2	June	18				6/18/2016 0:00							
$446.35 	2016	Qtr 2	June	19				6/19/2016 0:00							
$829.54 	2016	Qtr 2	June	20				6/20/2016 0:00							
$107.98 	2016	Qtr 2	June	21				6/21/2016 0:00							
"$2,018.95 "	2016	Qtr 2	June	22				6/22/2016 0:00							
$836.96 	2016	Qtr 2	June	23				6/23/2016 0:00							
$857.08 	2016	Qtr 2	June	25				6/25/2016 0:00							
"$1,592.20 "	2016	Qtr 2	June	26				6/26/2016 0:00							
"$1,126.16 "	2016	Qtr 2	June	28				6/28/2016 0:00							
$432.93 	2016	Qtr 2	June	29				6/29/2016 0:00							
$324.11 	2016	Qtr 3	July	2				7/2/2016 0:00							
$807.54 	2016	Qtr 3	July	3				7/3/2016 0:00							
$907.44 	2016	Qtr 3	July	4				7/4/2016 0:00							
$305.62 	2016	Qtr 3	July	5				7/5/2016 0:00							
$59.77 	2016	Qtr 3	July	6				7/6/2016 0:00							
$968.21 	2016	Qtr 3	July	8				7/8/2016 0:00							
"$2,922.67 "	2016	Qtr 3	July	9				7/9/2016 0:00							
"$3,073.07 "	2016	Qtr 3	July	11				7/11/2016 0:00							
"$1,338.30 "	2016	Qtr 3	July	12				7/12/2016 0:00							
"$2,033.26 "	2016	Qtr 3	July	13				7/13/2016 0:00							
$860.92 	2016	Qtr 3	July	14				7/14/2016 0:00							
"$3,029.39 "	2016	Qtr 3	July	16				7/16/2016 0:00							
$448.08 	2016	Qtr 3	July	17				7/17/2016 0:00							
$525.72 	2016	Qtr 3	July	18				7/18/2016 0:00							
$2.03 	2016	Qtr 3	July	19				7/19/2016 0:00							
"$2,693.17 "	2016	Qtr 3	July	20				7/20/2016 0:00							
$208.27 	2016	Qtr 3	July	23				7/23/2016 0:00							
$525.95 	2016	Qtr 3	July	24				7/24/2016 0:00							
"$2,395.02 "	2016	Qtr 3	July	25				7/25/2016 0:00							
$958.86 	2016	Qtr 3	July	26				7/26/2016 0:00							
$29.97 	2016	Qtr 3	July	27				7/27/2016 0:00							
$443.80 	2016	Qtr 3	July	30				7/30/2016 0:00							
"$3,712.16 "	2016	Qtr 3	July	31				7/31/2016 0:00							
$129.09 	2016	Qtr 3	August	2				8/2/2016 0:00							
"$2,563.30 "	2016	Qtr 3	August	3				8/3/2016 0:00							
"$3,981.97 "	2016	Qtr 3	August	5				8/5/2016 0:00							
$145.50 	2016	Qtr 3	August	6				8/6/2016 0:00							
$21.12 	2016	Qtr 3	August	7				8/7/2016 0:00							
$760.11 	2016	Qtr 3	August	8				8/8/2016 0:00							
$89.64 	2016	Qtr 3	August	9				8/9/2016 0:00							
$222.12 	2016	Qtr 3	August	10				8/10/2016 0:00							
"$12,197.00 "	2016	Qtr 3	August	11				8/11/2016 0:00							
"$2,672.73 "	2016	Qtr 3	August	12				8/12/2016 0:00							
$586.90 	2016	Qtr 3	August	13				8/13/2016 0:00							
$497.59 	2016	Qtr 3	August	15				8/15/2016 0:00							
"$3,378.93 "	2016	Qtr 3	August	16				8/16/2016 0:00							
$381.64 	2016	Qtr 3	August	17				8/17/2016 0:00							
"$2,827.52 "	2016	Qtr 3	August	21				8/21/2016 0:00							
$66.63 	2016	Qtr 3	August	22				8/22/2016 0:00							
"$1,202.28 "	2016	Qtr 3	August	23				8/23/2016 0:00							
"$7,194.78 "	2016	Qtr 3	August	24				8/24/2016 0:00							
$178.53 	2016	Qtr 3	August	25				8/25/2016 0:00							
$639.97 	2016	Qtr 3	August	27				8/27/2016 0:00							
"$6,491.29 "	2016	Qtr 3	August	28				8/28/2016 0:00							
$246.50 	2016	Qtr 3	August	29				8/29/2016 0:00							
"$2,601.80 "	2016	Qtr 3	August	31				8/31/2016 0:00							
$364.07 	2016	Qtr 3	September	1				9/1/2016 0:00							
$785.55 	2016	Qtr 3	September	2				9/2/2016 0:00							
$478.01 	2016	Qtr 3	September	3				9/3/2016 0:00							
$757.99 	2016	Qtr 3	September	4				9/4/2016 0:00							
$48.81 	2016	Qtr 3	September	5				9/5/2016 0:00							
$797.12 	2016	Qtr 3	September	6				9/6/2016 0:00							
"$1,587.11 "	2016	Qtr 3	September	7				9/7/2016 0:00							
"$4,878.39 "	2016	Qtr 3	September	8				9/8/2016 0:00							
"$2,133.54 "	2016	Qtr 3	September	10				9/10/2016 0:00							
"$4,620.29 "	2016	Qtr 3	September	11				9/11/2016 0:00							
$34.02 	2016	Qtr 3	September	12				9/12/2016 0:00							
"$2,109.42 "	2016	Qtr 3	September	13				9/13/2016 0:00							
"$3,262.42 "	2016	Qtr 3	September	14				9/14/2016 0:00							
"$2,535.85 "	2016	Qtr 3	September	15				9/15/2016 0:00							
$31.12 	2016	Qtr 3	September	16				9/16/2016 0:00							
"$11,525.01 "	2016	Qtr 3	September	17				9/17/2016 0:00							
"$3,924.32 "	2016	Qtr 3	September	18				9/18/2016 0:00							
$500.38 	2016	Qtr 3	September	19				9/19/2016 0:00							
"$1,836.05 "	2016	Qtr 3	September	20				9/20/2016 0:00							
"$6,982.06 "	2016	Qtr 3	September	21				9/21/2016 0:00							
"$1,783.50 "	2016	Qtr 3	September	22				9/22/2016 0:00							
"$4,180.61 "	2016	Qtr 3	September	24				9/24/2016 0:00							
"$3,033.76 "	2016	Qtr 3	September	25				9/25/2016 0:00							
"$3,722.27 "	2016	Qtr 3	September	26				9/26/2016 0:00							
"$2,382.96 "	2016	Qtr 3	September	27				9/27/2016 0:00							
"$1,058.36 "	2016	Qtr 3	September	28				9/28/2016 0:00							
"$1,018.10 "	2016	Qtr 4	October	1				10/1/2016 0:00							
$77.24 	2016	Qtr 4	October	2				10/2/2016 0:00							
$90.93 	2016	Qtr 4	October	3				10/3/2016 0:00							
$169.54 	2016	Qtr 4	October	4				10/4/2016 0:00							
$154.44 	2016	Qtr 4	October	5				10/5/2016 0:00							
$43.29 	2016	Qtr 4	October	7				10/7/2016 0:00							
$851.47 	2016	Qtr 4	October	8				10/8/2016 0:00							
"$1,415.73 "	2016	Qtr 4	October	9				10/9/2016 0:00							
"$1,855.01 "	2016	Qtr 4	October	10				10/10/2016 0:00							
"$3,536.90 "	2016	Qtr 4	October	11				10/11/2016 0:00							
"$3,080.38 "	2016	Qtr 4	October	12				10/12/2016 0:00							
$371.66 	2016	Qtr 4	October	13				10/13/2016 0:00							
"$3,219.55 "	2016	Qtr 4	October	15				10/15/2016 0:00							
$824.97 	2016	Qtr 4	October	16				10/16/2016 0:00							
$77.88 	2016	Qtr 4	October	17				10/17/2016 0:00							
$378.49 	2016	Qtr 4	October	18				10/18/2016 0:00							
"$2,135.09 "	2016	Qtr 4	October	19				10/19/2016 0:00							
$720.09 	2016	Qtr 4	October	20				10/20/2016 0:00							
$15.13 	2016	Qtr 4	October	22				10/22/2016 0:00							
"$2,262.30 "	2016	Qtr 4	October	23				10/23/2016 0:00							
$831.15 	2016	Qtr 4	October	24				10/24/2016 0:00							
"$1,425.41 "	2016	Qtr 4	October	25				10/25/2016 0:00							
"$1,395.33 "	2016	Qtr 4	October	26				10/26/2016 0:00							
$104.51 	2016	Qtr 4	October	28				10/28/2016 0:00							
$244.24 	2016	Qtr 4	October	29				10/29/2016 0:00							
"$2,122.04 "	2016	Qtr 4	October	30				10/30/2016 0:00							
"$3,211.01 "	2016	Qtr 4	October	31				10/31/2016 0:00							
"$1,328.35 "	2016	Qtr 4	November	4				11/4/2016 0:00							
$191.97 	2016	Qtr 4	November	5				11/5/2016 0:00							
"$3,373.56 "	2016	Qtr 4	November	6				11/6/2016 0:00							
"$1,941.95 "	2016	Qtr 4	November	7				11/7/2016 0:00							
$196.11 	2016	Qtr 4	November	8				11/8/2016 0:00							
"$1,962.13 "	2016	Qtr 4	November	9				11/9/2016 0:00							
"$1,011.90 "	2016	Qtr 4	November	10				11/10/2016 0:00							
$542.18 	2016	Qtr 4	November	11				11/11/2016 0:00							
"$1,590.89 "	2016	Qtr 4	November	12				11/12/2016 0:00							
"$2,867.91 "	2016	Qtr 4	November	13				11/13/2016 0:00							
"$2,512.71 "	2016	Qtr 4	November	14				11/14/2016 0:00							
$702.17 	2016	Qtr 4	November	15				11/15/2016 0:00							
"$4,072.33 "	2016	Qtr 4	November	16				11/16/2016 0:00							
"$3,885.99 "	2016	Qtr 4	November	17				11/17/2016 0:00							
"$1,040.78 "	2016	Qtr 4	November	19				11/19/2016 0:00							
"$2,861.15 "	2016	Qtr 4	November	20				11/20/2016 0:00							
"$3,613.57 "	2016	Qtr 4	November	21				11/21/2016 0:00							
$614.50 	2016	Qtr 4	November	22				11/22/2016 0:00							
"$3,450.19 "	2016	Qtr 4	November	23				11/23/2016 0:00							
"$1,218.76 "	2016	Qtr 4	November	24				11/24/2016 0:00							
$13.12 	2016	Qtr 4	November	25				11/25/2016 0:00							
"$1,484.08 "	2016	Qtr 4	November	26				11/26/2016 0:00							
"$3,109.78 "	2016	Qtr 4	November	27				11/27/2016 0:00							
"$1,864.48 "	2016	Qtr 4	November	28				11/28/2016 0:00							
"$2,760.17 "	2016	Qtr 4	November	29				11/29/2016 0:00							
"$1,798.40 "	2016	Qtr 4	November	30				11/30/2016 0:00							
$747.50 	2016	Qtr 4	December	1				12/1/2016 0:00							
$51.02 	2016	Qtr 4	December	3				12/3/2016 0:00							
"$1,060.35 "	2016	Qtr 4	December	5				12/5/2016 0:00							
$174.48 	2016	Qtr 4	December	6				12/6/2016 0:00							
"$2,052.57 "	2016	Qtr 4	December	7				12/7/2016 0:00							
$707.82 	2016	Qtr 4	December	9				12/9/2016 0:00							
"$2,390.76 "	2016	Qtr 4	December	10				12/10/2016 0:00							
"$1,127.99 "	2016	Qtr 4	December	11				12/11/2016 0:00							
"$1,448.85 "	2016	Qtr 4	December	12				12/12/2016 0:00							
"$1,023.39 "	2016	Qtr 4	December	13				12/13/2016 0:00							
$488.74 	2016	Qtr 4	December	14				12/14/2016 0:00							
"$5,494.80 "	2016	Qtr 4	December	15				12/15/2016 0:00							
$4.98 	2016	Qtr 4	December	16				12/16/2016 0:00							
"$1,918.49 "	2016	Qtr 4	December	17				12/17/2016 0:00							
$935.29 	2016	Qtr 4	December	18				12/18/2016 0:00							
"$6,120.66 "	2016	Qtr 4	December	19				12/19/2016 0:00							
"$1,107.46 "	2016	Qtr 4	December	20				12/20/2016 0:00							
"$3,257.76 "	2016	Qtr 4	December	21				12/21/2016 0:00							
$473.31 	2016	Qtr 4	December	22				12/22/2016 0:00							
$194.32 	2016	Qtr 4	December	23				12/23/2016 0:00							
"$7,484.57 "	2016	Qtr 4	December	24				12/24/2016 0:00							
"$4,204.97 "	2016	Qtr 4	December	25				12/25/2016 0:00							
$561.49 	2016	Qtr 4	December	26				12/26/2016 0:00							
"$5,148.45 "	2016	Qtr 4	December	27				12/27/2016 0:00							
$79.20 	2016	Qtr 4	December	28				12/28/2016 0:00							
"$3,251.34 "	2016	Qtr 4	December	30				12/30/2016 0:00							
"$1,381.34 "	2016	Qtr 4	December	31				12/31/2016 0:00							
$161.97 	2017	Qtr 1	January	2				1/2/2017 0:00							
"$6,285.81 "	2017	Qtr 1	January	3				1/3/2017 0:00							
"$2,161.48 "	2017	Qtr 1	January	4				1/4/2017 0:00							
$517.87 	2017	Qtr 1	January	5				1/5/2017 0:00							
"$1,724.38 "	2017	Qtr 1	January	7				1/7/2017 0:00							
"$1,124.65 "	2017	Qtr 1	January	8				1/8/2017 0:00							
"$5,766.15 "	2017	Qtr 1	January	9				1/9/2017 0:00							
$781.41 	2017	Qtr 1	January	10				1/10/2017 0:00							
$453.37 	2017	Qtr 1	January	11				1/11/2017 0:00							
"$7,365.46 "	2017	Qtr 1	January	12				1/12/2017 0:00							
$405.34 	2017	Qtr 1	January	14				1/14/2017 0:00							
$701.92 	2017	Qtr 1	January	15				1/15/2017 0:00							
$102.22 	2017	Qtr 1	January	16				1/16/2017 0:00							
"$1,040.55 "	2017	Qtr 1	January	17				1/17/2017 0:00							
"$1,167.06 "	2017	Qtr 1	January	21				1/21/2017 0:00							
$917.63 	2017	Qtr 1	January	22				1/22/2017 0:00							
"$1,732.30 "	2017	Qtr 1	January	23				1/23/2017 0:00							
$31.36 	2017	Qtr 1	January	24				1/24/2017 0:00							
$858.71 	2017	Qtr 1	January	25				1/25/2017 0:00							
$39.68 	2017	Qtr 1	January	28				1/28/2017 0:00							
"$3,107.32 "	2017	Qtr 1	January	30				1/30/2017 0:00							
"$1,601.55 "	2017	Qtr 1	January	31				1/31/2017 0:00							
$405.92 	2017	Qtr 1	February	1				2/1/2017 0:00							
"$8,996.78 "	2017	Qtr 1	February	2				2/2/2017 0:00							
"$1,454.90 "	2017	Qtr 1	February	4				2/4/2017 0:00							
$767.32 	2017	Qtr 1	February	5				2/5/2017 0:00							
$157.84 	2017	Qtr 1	February	6				2/6/2017 0:00							
$772.79 	2017	Qtr 1	February	7				2/7/2017 0:00							
$482.58 	2017	Qtr 1	February	8				2/8/2017 0:00							
"$6,792.19 "	2017	Qtr 1	February	9				2/9/2017 0:00							
"$18,452.97 "	2017	Qtr 1	February	10				2/10/2017 0:00							
"$4,684.62 "	2017	Qtr 1	February	12				2/12/2017 0:00							
$146.82 	2017	Qtr 1	February	13				2/13/2017 0:00							
$837.92 	2017	Qtr 1	February	14				2/14/2017 0:00							
$407.07 	2017	Qtr 1	February	15				2/15/2017 0:00							
"$1,135.64 "	2017	Qtr 1	February	16				2/16/2017 0:00							
$392.66 	2017	Qtr 1	February	19				2/19/2017 0:00							
$16.50 	2017	Qtr 1	February	20				2/20/2017 0:00							
"$1,524.13 "	2017	Qtr 1	February	21				2/21/2017 0:00							
$983.17 	2017	Qtr 1	February	22				2/22/2017 0:00							
$57.58 	2017	Qtr 1	February	23				2/23/2017 0:00							
$46.72 	2017	Qtr 1	February	25				2/25/2017 0:00							
$243.89 	2017	Qtr 1	February	27				2/27/2017 0:00							
$147.58 	2017	Qtr 1	February	28				2/28/2017 0:00							
"$2,095.83 "	2017	Qtr 1	March	1				3/1/2017 0:00							
$866.40 	2017	Qtr 1	March	2				3/2/2017 0:00							
"$7,264.42 "	2017	Qtr 1	March	3				3/3/2017 0:00							
$441.20 	2017	Qtr 1	March	4				3/4/2017 0:00							
"$1,099.01 "	2017	Qtr 1	March	5				3/5/2017 0:00							
$847.70 	2017	Qtr 1	March	7				3/7/2017 0:00							
$248.82 	2017	Qtr 1	March	8				3/8/2017 0:00							
"$2,365.60 "	2017	Qtr 1	March	9				3/9/2017 0:00							
"$1,680.70 "	2017	Qtr 1	March	10				3/10/2017 0:00							
"$3,802.80 "	2017	Qtr 1	March	11				3/11/2017 0:00							
"$5,269.82 "	2017	Qtr 1	March	12				3/12/2017 0:00							
"$8,866.88 "	2017	Qtr 1	March	13				3/13/2017 0:00							
$669.37 	2017	Qtr 1	March	14				3/14/2017 0:00							
"$1,805.99 "	2017	Qtr 1	March	15				3/15/2017 0:00							
"$2,360.33 "	2017	Qtr 1	March	17				3/17/2017 0:00							
"$1,061.68 "	2017	Qtr 1	March	18				3/18/2017 0:00							
$138.68 	2017	Qtr 1	March	19				3/19/2017 0:00							
$928.31 	2017	Qtr 1	March	20				3/20/2017 0:00							
$645.71 	2017	Qtr 1	March	21				3/21/2017 0:00							
$226.47 	2017	Qtr 1	March	22				3/22/2017 0:00							
$745.77 	2017	Qtr 1	March	24				3/24/2017 0:00							
"$1,346.97 "	2017	Qtr 1	March	25				3/25/2017 0:00							
$682.25 	2017	Qtr 1	March	26				3/26/2017 0:00							
$92.70 	2017	Qtr 1	March	27				3/27/2017 0:00							
$125.30 	2017	Qtr 1	March	28				3/28/2017 0:00							
"$2,659.34 "	2017	Qtr 1	March	29				3/29/2017 0:00							
$11.34 	2017	Qtr 1	March	30				3/30/2017 0:00							
$640.76 	2017	Qtr 1	March	31				3/31/2017 0:00							
"$1,069.22 "	2017	Qtr 2	April	1				4/1/2017 0:00							
$197.87 	2017	Qtr 2	April	2				4/2/2017 0:00							
$315.45 	2017	Qtr 2	April	3				4/3/2017 0:00							
$970.19 	2017	Qtr 2	April	4				4/4/2017 0:00							
"$2,316.52 "	2017	Qtr 2	April	6				4/6/2017 0:00							
"$1,651.30 "	2017	Qtr 2	April	7				4/7/2017 0:00							
$497.91 	2017	Qtr 2	April	8				4/8/2017 0:00							
"$1,707.81 "	2017	Qtr 2	April	9				4/9/2017 0:00							
"$5,912.78 "	2017	Qtr 2	April	10				4/10/2017 0:00							
"$3,888.82 "	2017	Qtr 2	April	11				4/11/2017 0:00							
$944.29 	2017	Qtr 2	April	12				4/12/2017 0:00							
$6.12 	2017	Qtr 2	April	13				4/13/2017 0:00							
"$1,466.57 "	2017	Qtr 2	April	14				4/14/2017 0:00							
"$2,201.86 "	2017	Qtr 2	April	15				4/15/2017 0:00							
"$9,335.09 "	2017	Qtr 2	April	16				4/16/2017 0:00							
$421.09 	2017	Qtr 2	April	17				4/17/2017 0:00							
"$2,514.54 "	2017	Qtr 2	April	18				4/18/2017 0:00							
"$1,414.13 "	2017	Qtr 2	April	19				4/19/2017 0:00							
$271.62 	2017	Qtr 2	April	21				4/21/2017 0:00							
"$1,765.47 "	2017	Qtr 2	April	22				4/22/2017 0:00							
$720.37 	2017	Qtr 2	April	23				4/23/2017 0:00							
"$1,607.10 "	2017	Qtr 2	April	24				4/24/2017 0:00							
$108.42 	2017	Qtr 2	April	25				4/25/2017 0:00							
$434.65 	2017	Qtr 2	April	26				4/26/2017 0:00							
$486.67 	2017	Qtr 2	April	28				4/28/2017 0:00							
$142.21 	2017	Qtr 2	April	30				4/30/2017 0:00							
$255.90 	2017	Qtr 2	May	1				5/1/2017 0:00							
"$2,994.48 "	2017	Qtr 2	May	2				5/2/2017 0:00							
$162.34 	2017	Qtr 2	May	3				5/3/2017 0:00							
"$1,046.33 "	2017	Qtr 2	May	4				5/4/2017 0:00							
"$2,701.28 "	2017	Qtr 2	May	5				5/5/2017 0:00							
$659.82 	2017	Qtr 2	May	6				5/6/2017 0:00							
$197.05 	2017	Qtr 2	May	8				5/8/2017 0:00							
"$5,226.35 "	2017	Qtr 2	May	9				5/9/2017 0:00							
"$4,266.90 "	2017	Qtr 2	May	11				5/11/2017 0:00							
"$5,138.93 "	2017	Qtr 2	May	12				5/12/2017 0:00							
$455.93 	2017	Qtr 2	May	14				5/14/2017 0:00							
$648.91 	2017	Qtr 2	May	15				5/15/2017 0:00							
$880.46 	2017	Qtr 2	May	16				5/16/2017 0:00							
$346.92 	2017	Qtr 2	May	17				5/17/2017 0:00							
$122.22 	2017	Qtr 2	May	18				5/18/2017 0:00							
"$1,582.01 "	2017	Qtr 2	May	19				5/19/2017 0:00							
"$2,471.91 "	2017	Qtr 2	May	20				5/20/2017 0:00							
"$2,718.21 "	2017	Qtr 2	May	21				5/21/2017 0:00							
"$1,799.20 "	2017	Qtr 2	May	22				5/22/2017 0:00							
"$10,560.98 "	2017	Qtr 2	May	23				5/23/2017 0:00							
$277.76 	2017	Qtr 2	May	24				5/24/2017 0:00							
"$1,311.97 "	2017	Qtr 2	May	25				5/25/2017 0:00							
"$1,975.36 "	2017	Qtr 2	May	26				5/26/2017 0:00							
"$5,305.08 "	2017	Qtr 2	May	27				5/27/2017 0:00							
"$2,137.32 "	2017	Qtr 2	May	28				5/28/2017 0:00							
"$1,063.19 "	2017	Qtr 2	May	29				5/29/2017 0:00							
"$8,090.58 "	2017	Qtr 2	May	30				5/30/2017 0:00							
$438.86 	2017	Qtr 2	May	31				5/31/2017 0:00							
$132.22 	2017	Qtr 2	June	2				6/2/2017 0:00							
$811.30 	2017	Qtr 2	June	3				6/3/2017 0:00							
"$1,294.75 "	2017	Qtr 2	June	4				6/4/2017 0:00							
$236.96 	2017	Qtr 2	June	5				6/5/2017 0:00							
"$5,477.35 "	2017	Qtr 2	June	6				6/6/2017 0:00							
$320.39 	2017	Qtr 2	June	8				6/8/2017 0:00							
"$1,313.54 "	2017	Qtr 2	June	9				6/9/2017 0:00							
$830.40 	2017	Qtr 2	June	10				6/10/2017 0:00							
$773.26 	2017	Qtr 2	June	11				6/11/2017 0:00							
"$2,859.97 "	2017	Qtr 2	June	12				6/12/2017 0:00							
$430.44 	2017	Qtr 2	June	13				6/13/2017 0:00							
"$3,457.10 "	2017	Qtr 2	June	14				6/14/2017 0:00							
$173.49 	2017	Qtr 2	June	15				6/15/2017 0:00							
$147.28 	2017	Qtr 2	June	16				6/16/2017 0:00							
"$3,000.92 "	2017	Qtr 2	June	17				6/17/2017 0:00							
$541.94 	2017	Qtr 2	June	18				6/18/2017 0:00							
$17.12 	2017	Qtr 2	June	19				6/19/2017 0:00							
"$1,229.55 "	2017	Qtr 2	June	20				6/20/2017 0:00							
$577.11 	2017	Qtr 2	June	21				6/21/2017 0:00							
"$2,475.09 "	2017	Qtr 2	June	23				6/23/2017 0:00							
"$5,310.95 "	2017	Qtr 2	June	24				6/24/2017 0:00							
$893.27 	2017	Qtr 2	June	25				6/25/2017 0:00							
"$1,919.60 "	2017	Qtr 2	June	26				6/26/2017 0:00							
$778.71 	2017	Qtr 2	June	27				6/27/2017 0:00							
$877.16 	2017	Qtr 2	June	28				6/28/2017 0:00							
$191.88 	2017	Qtr 2	June	29				6/29/2017 0:00							
"$1,352.95 "	2017	Qtr 2	June	30				6/30/2017 0:00							
$83.58 	2017	Qtr 3	July	1				7/1/2017 0:00							
$762.14 	2017	Qtr 3	July	2				7/2/2017 0:00							
$21.07 	2017	Qtr 3	July	3				7/3/2017 0:00							
"$1,900.30 "	2017	Qtr 3	July	4				7/4/2017 0:00							
"$4,835.98 "	2017	Qtr 3	July	5				7/5/2017 0:00							
$51.56 	2017	Qtr 3	July	6				7/6/2017 0:00							
"$3,882.23 "	2017	Qtr 3	July	7				7/7/2017 0:00							
$179.97 	2017	Qtr 3	July	8				7/8/2017 0:00							
$973.71 	2017	Qtr 3	July	10				7/10/2017 0:00							
"$3,810.46 "	2017	Qtr 3	July	11				7/11/2017 0:00							
"$2,149.96 "	2017	Qtr 3	July	14				7/14/2017 0:00							
$380.20 	2017	Qtr 3	July	15				7/15/2017 0:00							
$910.17 	2017	Qtr 3	July	16				7/16/2017 0:00							
"$2,184.88 "	2017	Qtr 3	July	17				7/17/2017 0:00							
"$2,891.86 "	2017	Qtr 3	July	18				7/18/2017 0:00							
"$1,536.45 "	2017	Qtr 3	July	19				7/19/2017 0:00							
$89.95 	2017	Qtr 3	July	20				7/20/2017 0:00							
$991.10 	2017	Qtr 3	July	21				7/21/2017 0:00							
"$1,368.05 "	2017	Qtr 3	July	22				7/22/2017 0:00							
$654.59 	2017	Qtr 3	July	23				7/23/2017 0:00							
$326.96 	2017	Qtr 3	July	24				7/24/2017 0:00							
"$4,979.31 "	2017	Qtr 3	July	25				7/25/2017 0:00							
"$2,033.37 "	2017	Qtr 3	July	28				7/28/2017 0:00							
$819.15 	2017	Qtr 3	July	29				7/29/2017 0:00							
"$1,770.78 "	2017	Qtr 3	July	30				7/30/2017 0:00							
"$2,174.16 "	2017	Qtr 3	July	31				7/31/2017 0:00							
"$1,859.16 "	2017	Qtr 3	August	1				8/1/2017 0:00							
"$1,369.48 "	2017	Qtr 3	August	2				8/2/2017 0:00							
"$2,190.81 "	2017	Qtr 3	August	3				8/3/2017 0:00							
"$2,906.40 "	2017	Qtr 3	August	4				8/4/2017 0:00							
"$1,340.24 "	2017	Qtr 3	August	5				8/5/2017 0:00							
"$2,616.51 "	2017	Qtr 3	August	7				8/7/2017 0:00							
"$1,115.20 "	2017	Qtr 3	August	8				8/8/2017 0:00							
"$4,493.98 "	2017	Qtr 3	August	9				8/9/2017 0:00							
$561.54 	2017	Qtr 3	August	10				8/10/2017 0:00							
$993.90 	2017	Qtr 3	August	11				8/11/2017 0:00							
"$4,709.10 "	2017	Qtr 3	August	12				8/12/2017 0:00							
$731.52 	2017	Qtr 3	August	13				8/13/2017 0:00							
$923.69 	2017	Qtr 3	August	14				8/14/2017 0:00							
"$1,680.27 "	2017	Qtr 3	August	15				8/15/2017 0:00							
$204.54 	2017	Qtr 3	August	16				8/16/2017 0:00							
$15.71 	2017	Qtr 3	August	17				8/17/2017 0:00							
$496.11 	2017	Qtr 3	August	18				8/18/2017 0:00							
$448.79 	2017	Qtr 3	August	19				8/19/2017 0:00							
$14.78 	2017	Qtr 3	August	20				8/20/2017 0:00							
"$4,225.12 "	2017	Qtr 3	August	21				8/21/2017 0:00							
$405.35 	2017	Qtr 3	August	22				8/22/2017 0:00							
"$4,187.35 "	2017	Qtr 3	August	23				8/23/2017 0:00							
"$4,874.30 "	2017	Qtr 3	August	26				8/26/2017 0:00							
$767.91 	2017	Qtr 3	August	27				8/27/2017 0:00							
$322.02 	2017	Qtr 3	August	28				8/28/2017 0:00							
$632.19 	2017	Qtr 3	August	29				8/29/2017 0:00							
"$1,656.87 "	2017	Qtr 3	August	30				8/30/2017 0:00							
$23.97 	2017	Qtr 3	August	31				8/31/2017 0:00							
$743.05 	2017	Qtr 3	September	1				9/1/2017 0:00							
$121.83 	2017	Qtr 3	September	2				9/2/2017 0:00							
$635.60 	2017	Qtr 3	September	3				9/3/2017 0:00							
"$1,115.20 "	2017	Qtr 3	September	4				9/4/2017 0:00							
"$1,283.51 "	2017	Qtr 3	September	5				9/5/2017 0:00							
"$1,688.47 "	2017	Qtr 3	September	6				9/6/2017 0:00							
$573.29 	2017	Qtr 3	September	7				9/7/2017 0:00							
$661.35 	2017	Qtr 3	September	8				9/8/2017 0:00							
$84.99 	2017	Qtr 3	September	9				9/9/2017 0:00							
$546.92 	2017	Qtr 3	September	10				9/10/2017 0:00							
$479.97 	2017	Qtr 3	September	11				9/11/2017 0:00							
"$1,855.48 "	2017	Qtr 3	September	12				9/12/2017 0:00							
"$2,374.73 "	2017	Qtr 3	September	13				9/13/2017 0:00							
"$1,137.34 "	2017	Qtr 3	September	14				9/14/2017 0:00							
"$2,101.18 "	2017	Qtr 3	September	15				9/15/2017 0:00							
$425.89 	2017	Qtr 3	September	16				9/16/2017 0:00							
"$2,043.13 "	2017	Qtr 3	September	17				9/17/2017 0:00							
"$4,751.08 "	2017	Qtr 3	September	18				9/18/2017 0:00							
"$3,839.31 "	2017	Qtr 3	September	19				9/19/2017 0:00							
"$1,232.00 "	2017	Qtr 3	September	20				9/20/2017 0:00							
$418.06 	2017	Qtr 3	September	22				9/22/2017 0:00							
"$1,322.15 "	2017	Qtr 3	September	23				9/23/2017 0:00							
"$2,286.05 "	2017	Qtr 3	September	24				9/24/2017 0:00							
